id;user_id;department_id;position_id;created_at;update_at
3;3;3;3;2013-12-28 18:38:09;2013-12-28 18:38:09
4;2;4;2;2013-12-28 18:38:09;2013-12-28 18:38:09
5;9;5;9;2013-12-28 18:38:09;2013-12-28 18:38:09
6;21;6;21;2013-12-28 18:38:09;2013-12-28 18:38:09
7;6;7;6;2013-12-28 18:38:09;2013-12-28 18:38:09
8;8;8;8;2013-12-28 18:38:09;2013-12-28 18:38:09
9;4;9;4;2013-12-28 18:38:09;2013-12-28 18:38:09
10;5;10;5;2013-12-28 18:38:09;2013-12-28 18:38:09
11;7;11;7;2013-12-28 18:38:09;2013-12-28 18:38:09
12;10;3;14;2020-05-12 18:37:44;2020-05-12 18:37:44
13;11;3;14;2020-05-12 18:37:46;2020-05-12 18:37:46
14;12;5;11;2020-05-12 18:39:10;2020-05-12 18:39:10
15;13;5;11;2020-05-12 18:39:39;2020-05-12 18:39:39
16;14;9;15;2020-05-12 18:39:54;2020-05-12 18:39:54
17;15;9;15;2020-05-12 18:40:01;2020-05-12 18:40:01
18;16;9;15;2020-05-12 18:40:25;2020-05-12 18:40:25
19;17;9;15;2020-05-12 18:40:26;2020-05-12 18:40:26
20;18;5;11;2020-05-12 18:40:45;2020-05-12 18:40:45
21;19;5;11;2020-05-12 18:40:45;2020-05-12 18:40:45
22;20;5;10;2020-05-12 18:40:57;2020-05-12 18:40:57
23;22;5;10;2020-05-12 18:41:30;2020-05-12 18:41:30
24;23;5;10;2020-05-12 18:41:59;2020-05-12 18:41:59
25;24;5;10;2020-05-12 18:42:07;2020-05-12 18:42:07
26;25;5;10;2020-05-12 18:42:13;2020-05-12 18:42:13
27;26;5;10;2021-04-12 18:42:21;2021-04-12 18:42:21
28;27;5;10;2021-04-10 18:42:21;2021-04-10 18:42:21
29;28;5;10;2021-04-08 18:42:21;2021-04-08 18:42:21
30;29;5;10;2021-04-12 18:42:21;2021-04-12 18:42:21
31;30;5;11;2020-05-12 18:43:47;2020-05-12 18:43:47
32;31;5;11;2020-05-12 18:44:10;2020-05-12 18:44:10
33;32;5;11;2020-05-12 18:44:25;2020-05-12 18:44:25
34;33;8;16;2020-05-12 18:44:51;2020-05-12 18:44:51
35;34;8;16;2020-05-12 18:45:17;2020-05-12 18:45:17
36;35;8;16;2020-05-12 18:45:17;2020-05-12 18:45:17
37;36;5;11;2020-05-12 18:45:32;2020-05-12 18:45:32
38;37;5;11;2020-05-12 18:46:19;2020-05-12 18:46:19
39;38;5;12;2020-05-12 18:46:42;2020-05-12 18:46:42
40;39;5;12;2020-05-12 18:47:06;2020-05-12 18:47:06
41;40;5;12;2020-05-12 18:47:52;2020-05-12 18:47:52
42;41;5;12;2020-05-12 18:48:03;2020-05-12 18:48:03
43;42;5;12;2020-05-12 18:48:38;2020-05-12 18:48:38
44;43;5;12;2020-05-12 18:48:40;2020-05-12 18:48:40
45;44;5;11;2020-05-12 18:48:53;2020-05-12 18:48:53
46;45;4;13;2020-05-12 18:48:55;2020-05-12 18:48:55
47;46;4;13;2020-05-12 18:49:14;2020-05-12 18:49:14
48;47;4;13;2020-05-12 18:49:38;2020-05-12 18:49:38
49;48;4;13;2020-05-12 18:49:38;2020-05-12 18:49:38
50;49;4;13;2020-05-12 18:50:45;2020-05-12 18:50:45
51;50;5;11;2020-05-12 18:50:58;2020-05-12 18:50:58
52;51;5;11;2020-05-12 18:51:06;2020-05-12 18:51:06
53;52;5;11;2020-05-12 18:51:17;2020-05-12 18:51:17
54;53;10;20;2020-05-12 18:51:35;2020-05-12 18:51:35
55;54;10;20;2020-05-12 18:51:45;2020-05-12 18:51:45
56;55;5;11;2020-05-12 18:51:49;2020-05-12 18:51:49
57;56;5;11;2020-05-12 18:52:54;2020-05-12 18:52:54
58;57;7;17;2020-05-12 18:53:55;2020-05-12 18:53:55
59;58;7;17;2020-05-12 18:54:29;2020-05-12 18:54:29
